"id","Response","Theme"
"5369","That 'BIG DATA' has bunch of privacy information, making order with text is make that bigger.","Data Privacy & Security"
"5370","When it will ask my personal information like bank details, family, and helath issues.","Data Privacy & Security"
"5371","I would feel uncomfortable with an AI making a decision in a medical enviroment because I beleive a human doctor should be the only one making decisions for patients and diagnosing them.","Medical & Healthcare"
"5372","many private information and decision that humans do should still retain to human like getting married, settling a dispute","Personal & Emotional Life"
"5373","AI suggests me wrong recommendations that don't suit to my lifestyle.","General Mistrust / Inaccuracy"
"5374","AI to decide on my daily routine ","Personal & Emotional Life"
"5375","I would hesitate to give AI the right to take any life altering decision for me. Take career for example. The choices open to me are know to me and even tho AI can give me a detailed version yet I don't trust it completely. I might ask for advice as it's knowledge is incomparable but I won't just agree with it's decision. ","Hiring & Employment Decisions"
"5376","When AI decide for me fully without respecting my opinion ","Loss of Human Agency & Control"
"5377","Any decision that involves human suffering, taking someone's life, that could harm someone's health or financial stability, that is not just operational, repeating tasks. Any serious decision by an AI needs human approval.","Life-or-Death & Moral Dilemmas"
"5378","If I need to make a decision of if I should break up with my girlfriend, I would not trust AI to make that decision. Because AI do not have emotion, and they have not been in an relationship. ","Personal & Emotional Life"
"5379","Asking AI to help in relationships and sharing person data as it could be gathered by companies","Personal & Emotional Life"
"5380","the decision of whether the person should be fired or not","Hiring & Employment Decisions"
"5381","Everything that concerns private life.","Personal & Emotional Life"
"5382","in topics where a sensitive side is required, or more focused on the social, mental consequences of a person","Personal & Emotional Life"
